Movie ,Year ,value,Release Date,Production Budget,Domestic Gross,Worldwide Gross,,,,
Avengers: Endgame,2019,Robert Downey Jr.,"Apr 23, 2019",400000000,858373000,2797800564,,,,
Avengers: Endgame,2019,Chris Evans,"Apr 23, 2019",400000000,858373000,2797800564,,,,
Avengers: Endgame,2019,Mark Ruffalo,"Apr 23, 2019",400000000,858373000,2797800564,,,,
Avengers: Endgame,2019,Chris Hemsworth,"Apr 23, 2019",400000000,858373000,2797800564,,,,
Avatar,2009,Sam Worthington,"Dec 17, 2009",237000000,760507625,2788701337,,,,
Frozen 4,2011,Josh Gad,"Nov 20, 2000",399937443,348392219,794161849,,,,
Inception 3,2011,Ken Watanabe,"Jun 20, 2022",399445013,664748760,974825690,,,,
Interstellar 3,2022,Anne Hathaway,"Jan 25, 2021",399246573,81657203,1230123612,,,,
Avengers 3,2004,Zoe Saldana,"Dec 03, 2026",398972016,171975402,756433930,,,,
Inception 1,2001,Tom Hardy,"Apr 16, 2005",398392238,625115989,1463312009,,,,
Black Panther 4,2018,Chadwick Boseman,"Jan 12, 2016",398233170,530432571,1477017707,,,,
Frozen 3,2002,Idina Menzel,"Nov 12, 2014",397945192,790337242,2076208867,,,,
Titanic 4,2014,Leonardo DiCaprio,"Nov 07, 2018",396756949,598410361,2522498518,,,,
Inception 1,2019,Elliot Page,"Apr 30, 1996",396443697,653907299,1773860490,,,,
Inception 4,2003,Elliot Page,"Mar 16, 2022",396067494,171374554,884408298,,,,
The Dark Knight 2,2016,Gary Oldman,"May 16, 1996",395233579,590008942,1417721408,,,,
The Dark Knight 4,2005,Heath Ledger,"Mar 09, 1995",395152631,898362655,1282050628,,,,
Avengers 1,2012,Jeremy Renner ,"Jan 07, 2008",395086328,270821141,1506496649,,,,
Joker 3,2014,Joaquin Phoenix,"May 22, 2020",395078961,461281702,1733008554,,,,
Interstellar 2,2001,Michael Caine,"Jan 28, 2002",394891142,622592925,913571291,,,,
Interstellar 3,2005,Matthew McConaughey,"Oct 18, 2025",394809124,735134436,1477608696,,,,
Joker 2,2013,Joaquin Phoenix,"Jun 15, 2027",394765987,582001725,938711724,,,,
Avatar 2,2018,Zoe Saldana,"Nov 09, 1996",394006531,659141899,1581772316,,,,
Avengers 4,2011,Mark Ruffalo,"May 20, 2020",393593109,70837119,1824161951,,,,
Joker 4,2015,Joaquin Phoenix,"Apr 26, 1995",393544389,193868238,1104099623,,,,
Interstellar 2,2007,Matthew McConaughey,"Jan 19, 2012",392845273,51117750,152381999,,,,
The Dark Knight 3,2014,Heath Ledger,"Nov 21, 2025",392397026,149595004,1796713054,,,,
Joker 2,2018,Joaquin Phoenix,"Jun 17, 1999",392258579,387458730,432256817,,,,
The Dark Knight 2,2023,Gary Oldman,"Mar 11, 2016",392067842,558475828,2505821664,,,,
Interstellar 2,1999,Anne Hathaway,"Sep 02, 2023",392028311,757207470,1827213885,,,,
Toy Story 4,2020,Tim Allen,"Mar 29, 2012",391779160,341666596,1112838105,,,,
Inception 1,2012,Leonardo DiCaprio,"Dec 13, 2003",391767120,187380069,2037762431,,,,
Joker 3,2012,Joaquin Phoenix,"Aug 22, 2016",390273752,531306471,1772437381,,,,
Avengers 1,2005,Jeremy Renner ,"Sep 24, 2004",389841703,484763880,1300015578,,,,
Joker 4,2005,Joaquin Phoenix,"May 28, 2015",389713779,797153024,2686741375,,,,
Avengers 2,2007,Chris Evans ,"Dec 14, 2005",389624116,694085081,2489952123,,,,
Frozen 3,2018,Idina Menzel,"Jul 01, 2023",389464396,658554148,1209808786,,,,
Titanic 1,2012,Kate Winslet,"Apr 01, 2005",389171064,64930108,1440493750,,,,
Joker 2,2011,Joaquin Phoenix,"Nov 17, 2007",388308284,63949217,1442479178,,,,
Avatar 4,1995,Zoe Saldana,"Jul 13, 2010",387732320,55940406,1851727996,,,,
Interstellar 1,2019,Michael Caine,"May 21, 1997",386815936,736830533,2009788360,,,,
Avatar 2,2000,Sam Worthington,"May 29, 2015",386407252,589538935,853161938,,,,
Toy Story 1,2014,Tim Allen,"Dec 05, 2005",386402357,684070935,994291667,,,,
The Dark Knight 4,2013,Michael Caine,"Jun 06, 2019",385671010,711886750,1983316084,,,,
Frozen 2,2004,Jonathan Groff,"Dec 27, 2015",385600141,755340386,2640579397,,,,
Interstellar 4,2017,Jessica Chastain,"Mar 01, 2005",385267984,565266219,2055581859,,,,
Toy Story 3,2013,Tom Hanks,"Nov 12, 2007",385263022,839626905,1805639355,,,,
Joker 4,1996,Joaquin Phoenix,"Sep 01, 1998",385100983,75245530,1451392231,,,,
Inception 3,2015,Leonardo DiCaprio,"Nov 11, 2020",384216719,163614225,1684574148,,,,
Inception 4,2013,Joseph Gordon-Levitt,"Jan 26, 2005",383911633,687672949,2136830150,,,,
Avengers 3,2007,Mark Ruffalo,"May 16, 2010",382707905,184889265,771079357,,,,
Inception 3,2020,Tom Hardy,"Sep 26, 2025",382612101,108803001,267566144,,,,
Joker 1,2022,Joaquin Phoenix,"Apr 18, 2017",382116858,325209823,1595470991,,,,
